format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.2463189959526062, 200, 1.460308015346527, 105566, NSURLConnection, TBXML, 
xml, 0.1583049893379211, 50, 0.7468349933624268, 26569, NSURLConnection, KissXML, 
xml, 0.3100729584693909, 100, 1.16807097196579, 52838, NSURLConnection, KissXML, 
xml, 0.4561060070991516, 150, 1.628592967987061, 79947, NSURLConnection, KissXML, 
xml, 0.5795930027961731, 200, 1.69989800453186, 105215, NSURLConnection, KissXML, 
xml, 0.2997769713401794, 50, 0.9240809679031372, 27043, NSURLConnection, TinyXML, 
xml, 0.5877450108528137, 100, 1.332783997058868, 53083, NSURLConnection, TinyXML, 
xml, 0.8783239722251892, 150, 1.554829001426697, 79240, NSURLConnection, TinyXML, 
xml, 1.164596974849701, 200, 1.776079952716827, 105896, NSURLConnection, TinyXML, 
xml, 0.1647990345954895, 50, 0.7666690349578857, 26720, NSURLConnection, GoogleXML, 
xml, 0.3235660195350647, 100, 1.365738034248352, 52712, NSURLConnection, GoogleXML, 
xml, 0.47748202085495, 150, 1.612926959991455, 79578, NSURLConnection, GoogleXML, 
xml, 0.6259549856185913, 200, 1.675752997398376, 105334, NSURLConnection, GoogleXML, 
xml, 0.306780993938446, 50, 0.7823899984359741, 26524, NSURLConnection, APXML, 
xml, 0.6087669730186462, 100, 1.428978025913239, 52432, NSURLConnection, APXML, 
xml, 0.903423011302948, 150, 1.62915301322937, 78860, NSURLConnection, APXML, 
xml, 1.225651025772095, 200, 1.760618031024933, 105564, NSURLConnection, APXML, 
pbuf, 0.08206301927566528, 50, 1.007737994194031, 13906, NSURLConnection, ProtocolBuffer, 
pbuf, 0.1322790384292603, 100, 1.138486981391907, 27551, NSURLConnection, ProtocolBuffer, 
pbuf, 0.196785032749176, 150, 0.9871940016746521, 40820, NSURLConnection, ProtocolBuffer, 
pbuf, 0.2641729712486267, 200, 1.418097972869873, 54729, NSURLConnection, ProtocolBuffer, 
xml, 0.2771599888801575, 50, 0.7651619911193848, 26610, NSURLConnection, AQXMLParser, 
xml, 0.5626720190048218, 100, 1.147274971008301, 53026, NSURLConnection, AQXMLParser, 
xml, 0.8559260368347168, 150, 1.576708972454071, 79284, NSURLConnection, AQXMLParser, 
xml, 1.145242989063263, 200, 1.797793030738831, 106118, NSURLConnection, AQXMLParser, 
json, 0.202659010887146, 50, 1.149363994598389, 21386, ASIHTTPRequest, TouchJSON, 
json, 0.3890089988708496, 100, 1.075758993625641, 42912, ASIHTTPRequest, TouchJSON, 
json, 0.5842850208282471, 150, 1.43784499168396, 64541, ASIHTTPRequest, TouchJSON, 
json, 0.7790610194206238, 200, 1.763324975967407, 86421, ASIHTTPRequest, TouchJSON, 
json, 0.1489590406417847, 50, 0.8388999700546265, 21369, ASIHTTPRequest, SBJSON, 
json, 0.2878950238227844, 100, 1.176096975803375, 42974, ASIHTTPRequest, SBJSON, 
json, 0.4307590126991272, 150, 1.140579044818878, 64373, ASIHTTPRequest, SBJSON, 
json, 0.5701920390129089, 200, 1.502108991146088, 85652, ASIHTTPRequest, SBJSON, 
json, 0.04902899265289307, 50, 0.847104012966156, 21387, ASIHTTPRequest, JSONKit, 
json, 0.1024729609489441, 100, 1.07558399438858, 42648, ASIHTTPRequest, JSONKit, 
json, 0.1505159735679626, 150, 1.118824005126953, 64812, ASIHTTPRequest, JSONKit, 
json, 0.2019929885864258, 200, 1.368299007415771, 85940, ASIHTTPRequest, JSONKit, 
json, 0.07919800281524658, 50, 0.8127129673957825, 21348, ASIHTTPRequest, YAJL, 
json, 0.1630649566650391, 100, 0.9490340352058411, 43097, ASIHTTPRequest, YAJL, 
json, 0.2334719896316528, 150, 1.148989975452423, 64831, ASIHTTPRequest, YAJL, 
json, 0.3037940263748169, 200, 1.504388988018036, 86362, ASIHTTPRequest, YAJL, 
json, 1.131051003932953, 50, 0.9040799736976624, 21744, ASIHTTPRequest, BSJSON, 
json, 2.146625995635986, 100, 1.216693043708801, 42354, ASIHTTPRequest, BSJSON, 
json, 3.18470698595047, 150, 1.428286969661713, 64536, ASIHTTPRequest, BSJSON, 
