format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.05946695804595947, 200, 1.429988980293274, 105742, NSURLConnection, TBXML, 
xml, 0.03557395935058594, 50, 0.6302469968795776, 26307, NSURLConnection, KissXML, 
xml, 0.07359296083450317, 100, 0.8962470293045044, 52786, NSURLConnection, KissXML, 
xml, 0.1050390005111694, 150, 0.932295024394989, 79909, NSURLConnection, KissXML, 
xml, 0.1369510293006897, 200, 1.047690987586975, 105987, NSURLConnection, KissXML, 
xml, 0.0670439600944519, 50, 0.6443699598312378, 26186, NSURLConnection, TinyXML, 
xml, 0.1353989839553833, 100, 0.7833139896392822, 52078, NSURLConnection, TinyXML, 
xml, 0.1985139846801758, 150, 0.920536994934082, 79416, NSURLConnection, TinyXML, 
xml, 0.2658729553222656, 200, 1.25459498167038, 105835, NSURLConnection, TinyXML, 
xml, 0.04081898927688599, 50, 0.6444160342216492, 26528, NSURLConnection, GoogleXML, 
xml, 0.08106601238250732, 100, 0.8235559463500977, 52913, NSURLConnection, GoogleXML, 
xml, 0.1199039816856384, 150, 0.9548360109329224, 78986, NSURLConnection, GoogleXML, 
xml, 0.1576529741287231, 200, 1.060647010803223, 105379, NSURLConnection, GoogleXML, 
xml, 0.06661200523376465, 50, 0.6379820108413696, 26330, NSURLConnection, APXML, 
xml, 0.1266590356826782, 100, 1.578292012214661, 52918, NSURLConnection, APXML, 
xml, 0.1930450201034546, 150, 1.32014399766922, 78772, NSURLConnection, APXML, 
xml, 0.2564499974250793, 200, 1.227679967880249, 105743, NSURLConnection, APXML, 
pbuf, 0.01862901449203491, 50, 0.6038739681243896, 13376, NSURLConnection, ProtocolBuffer, 
pbuf, 0.03375601768493652, 100, 0.7980679869651794, 27908, NSURLConnection, ProtocolBuffer, 
pbuf, 0.04737001657485962, 150, 0.9271900057792664, 41368, NSURLConnection, ProtocolBuffer, 
pbuf, 0.06207597255706787, 200, 0.9572460055351257, 54212, NSURLConnection, ProtocolBuffer, 
xml, 0.05938798189163208, 50, 0.7655709981918335, 26521, NSURLConnection, AQXMLParser, 
xml, 0.1165800094604492, 100, 0.8964749574661255, 52799, NSURLConnection, AQXMLParser, 
xml, 0.1752620339393616, 150, 0.9080190062522888, 79479, NSURLConnection, AQXMLParser, 
xml, 0.2342949509620667, 200, 1.045009016990662, 105691, NSURLConnection, AQXMLParser, 
json, 0.04722803831100464, 50, 1.473021030426025, 21637, ASIHTTPRequest, TouchJSON, 
json, 0.09071499109268188, 100, 1.056062042713165, 43112, ASIHTTPRequest, TouchJSON, 
json, 0.132669985294342, 150, 1.165466964244843, 63916, ASIHTTPRequest, TouchJSON, 
json, 0.1731200218200684, 200, 0.9460710287094116, 85923, ASIHTTPRequest, TouchJSON, 
json, 0.03366696834564209, 50, 0.7738430500030518, 21653, ASIHTTPRequest, SBJSON, 
json, 0.06348299980163574, 100, 1.521667003631592, 42994, ASIHTTPRequest, SBJSON, 
json, 0.1009740233421326, 150, 1.028739035129547, 64349, ASIHTTPRequest, SBJSON, 
json, 0.1388810276985168, 200, 0.9844670295715332, 86703, ASIHTTPRequest, SBJSON, 
