deserializer, deserializerTime, dataLength, loaderTime, dataLoader, limit, 
ProtocolBuffer, 0.03074800968170166, 13687, 0.340781033039093, NSURLConnection, 50, 
ProtocolBuffer, 0.03771799802780151, 27373, 0.4827619791030884, NSURLConnection, 100, 
ProtocolBuffer, 0.05420702695846558, 41258, 0.5554050207138062, NSURLConnection, 150, 
ProtocolBuffer, 0.07054597139358521, 54767, 0.7924900054931641, NSURLConnection, 200, 
AQXMLParser, 0.07166498899459839, 26425, 0.3621140122413635, NSURLConnection, 50, 
AQXMLParser, 0.1343230009078979, 52806, 0.5960100293159485, NSURLConnection, 100, 
AQXMLParser, 0.2083520293235779, 79409, 0.5831779837608337, NSURLConnection, 150, 
AQXMLParser, 0.2686470150947571, 105616, 0.6388189792633057, NSURLConnection, 200, 
TouchJSON, 0.05142605304718018, 21423, 1.072202980518341, ASIHTTPRequest, 50, 
TouchJSON, 0.09579700231552124, 42854, 0.6278130412101746, ASIHTTPRequest, 100, 
TouchJSON, 0.151108980178833, 64507, 0.5647500157356262, ASIHTTPRequest, 150, 
TouchJSON, 0.2018269896507263, 85764, 0.7815979719161987, ASIHTTPRequest, 200, 
SBJSON, 0.036141037940979, 21423, 0.6102710366249084, ASIHTTPRequest, 50, 
SBJSON, 0.07003295421600342, 42854, 0.744159996509552, ASIHTTPRequest, 100, 
SBJSON, 0.1097490191459656, 64507, 1.916750967502594, ASIHTTPRequest, 150, 
SBJSON, 0.142363965511322, 85764, 1.225612998008728, ASIHTTPRequest, 200, 
YAML, 0.06234604120254517, 23178, 1.070479989051819, ASIHTTPRequest, 50, 
YAML, 0.1184520125389099, 46331, 1.741495013237, ASIHTTPRequest, 100, 
YAML, 0.1748669743537903, 69700, 2.394402980804443, ASIHTTPRequest, 150, 
YAML, 0.2327980399131775, 92675, 3.697862982749939, ASIHTTPRequest, 200, 
BinaryPlist, 0.007652997970581055, 17700, 1.349520981311798, ASIHTTPRequest, 50, 
BinaryPlist, 0.01549500226974487, 34852, 1.329113006591797, ASIHTTPRequest, 100, 
BinaryPlist, 0.02090001106262207, 51651, 1.768979966640472, ASIHTTPRequest, 150, 
BinaryPlist, 0.02384001016616821, 67643, 2.981073021888733, ASIHTTPRequest, 200, 
XMLPlist, 0.01894998550415039, 37668, 0.9608469605445862, ASIHTTPRequest, 50, 
XMLPlist, 0.03384000062942505, 75149, 2.043174028396606, ASIHTTPRequest, 100, 
XMLPlist, 0.05024802684783936, 112852, 2.419713973999023, ASIHTTPRequest, 150, 
XMLPlist, 0.06429398059844971, 150159, 3.033814013004303, ASIHTTPRequest, 200, 
XMLFormattedPlist, 0.01908695697784424, 47975, 0.6014590263366699, ASIHTTPRequest, 50, 
XMLFormattedPlist, 0.03578299283981323, 95756, 1.525382041931152, ASIHTTPRequest, 100, 
XMLFormattedPlist, 0.05383998155593872, 143759, 1.905409038066864, ASIHTTPRequest, 150, 
XMLFormattedPlist, 0.0681920051574707, 191366, 2.596352994441986, ASIHTTPRequest, 200, 
NSXMLParser, 0.05693000555038452, 26425, 0.5623039603233337, ASIHTTPRequest, 50, 
NSXMLParser, 0.1278600096702576, 52806, 1.10114198923111, ASIHTTPRequest, 100, 
NSXMLParser, 0.1896490454673767, 79409, 1.089457035064697, ASIHTTPRequest, 150, 
NSXMLParser, 0.2525440454483032, 105616, 1.115751981735229, ASIHTTPRequest, 200, 
TouchXML, 0.05115598440170288, 26425, 0.6164869666099548, ASIHTTPRequest, 50, 
TouchXML, 0.1012570261955261, 52806, 2.149524033069611, ASIHTTPRequest, 100, 
TouchXML, 0.1538239717483521, 79409, 1.185235023498535, ASIHTTPRequest, 150, 
TouchXML, 0.20626300573349, 105616, 1.209945023059845, ASIHTTPRequest, 200, 
LibXMLDom, 0.03582000732421875, 26425, 1.648431003093719, ASIHTTPRequest, 50, 
LibXMLDom, 0.06665098667144775, 52806, 1.37552797794342, ASIHTTPRequest, 100, 
LibXMLDom, 0.1025480031967163, 79409, 1.061564028263092, ASIHTTPRequest, 150, 
