format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.006202995777130127, 5, 1.369527995586395, 2722, NSURLConnection, KissXML, 
xml, 0.01132500171661377, 10, 1.927541971206665, 5489, NSURLConnection, KissXML, 
xml, 0.01554000377655029, 15, 1.827997982501984, 8132, NSURLConnection, KissXML, 
xml, 0.02077698707580566, 20, 2.158029019832611, 10447, NSURLConnection, KissXML, 
xml, 0.009972989559173584, 5, 1.738376021385193, 2823, NSURLConnection, TinyXML, 
xml, 0.01839196681976318, 10, 2.107852041721344, 5297, NSURLConnection, TinyXML, 
xml, 0.02651500701904297, 15, 1.797309994697571, 7998, NSURLConnection, TinyXML, 
xml, 0.03445500135421753, 20, 2.908778011798859, 10542, NSURLConnection, TinyXML, 
xml, 0.006830990314483643, 5, 1.904681980609894, 2640, NSURLConnection, GoogleXML, 
xml, 0.01195400953292847, 10, 2.051086962223053, 5472, NSURLConnection, GoogleXML, 
xml, 0.01745998859405518, 15, 1.743609011173248, 7996, NSURLConnection, GoogleXML, 
xml, 0.02245098352432251, 20, 1.879756987094879, 10540, NSURLConnection, GoogleXML, 
xml, 0.00987398624420166, 5, 1.316244006156921, 2682, NSURLConnection, APXML, 
xml, 0.01769000291824341, 10, 1.964982986450195, 5304, NSURLConnection, APXML, 
xml, 0.02660602331161499, 15, 1.899491012096405, 8090, NSURLConnection, APXML, 
xml, 0.03475600481033325, 20, 1.888764977455139, 10566, NSURLConnection, APXML, 
pbuf, 0.004288017749786377, 5, 1.244196951389313, 1382, NSURLConnection, ProtocolBuffer, 
pbuf, 0.006165981292724609, 10, 1.430505990982056, 2937, NSURLConnection, ProtocolBuffer, 
pbuf, 0.008516013622283936, 15, 1.771845996379852, 4225, NSURLConnection, ProtocolBuffer, 
pbuf, 0.01038402318954468, 20, 1.828903019428253, 5531, NSURLConnection, ProtocolBuffer, 
xml, 0.008962035179138184, 5, 1.387717962265015, 2706, NSURLConnection, AQXMLParser, 
xml, 0.01752102375030518, 10, 1.965569019317627, 5327, NSURLConnection, AQXMLParser, 
xml, 0.02445501089096069, 15, 1.860161006450653, 7954, NSURLConnection, AQXMLParser, 
xml, 0.03158104419708252, 20, 1.852992951869965, 10599, NSURLConnection, AQXMLParser, 
json, 0.007727980613708496, 5, 2.246523976325989, 2081, ASIHTTPRequest, TouchJSON, 
json, 0.01371794939041138, 10, 2.165848016738892, 4213, ASIHTTPRequest, TouchJSON, 
json, 0.01817202568054199, 15, 2.785838961601257, 6391, ASIHTTPRequest, TouchJSON, 
json, 0.02307599782943726, 20, 2.73753696680069, 8584, ASIHTTPRequest, TouchJSON, 
json, 0.006492972373962402, 5, 1.653488039970398, 2107, ASIHTTPRequest, SBJSON, 
json, 0.008729040622711182, 10, 2.290483951568604, 4329, ASIHTTPRequest, SBJSON, 
json, 0.01348501443862915, 15, 2.788267016410828, 6478, ASIHTTPRequest, SBJSON, 
