format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.07313001155853271, 200, 1.064957022666931, 106035, NSURLConnection, TBXML, 
xml, 0.04654204845428467, 50, 0.635994017124176, 26565, NSURLConnection, KissXML, 
xml, 0.08403301239013672, 100, 0.8776950240135193, 52521, NSURLConnection, KissXML, 
xml, 0.1258270144462585, 150, 1.090829014778137, 79905, NSURLConnection, KissXML, 
xml, 0.1648510098457336, 200, 1.155959010124207, 105630, NSURLConnection, KissXML, 
xml, 0.08356195688247681, 50, 0.7452160120010376, 26666, NSURLConnection, TinyXML, 
xml, 0.1605280041694641, 100, 1.043492019176483, 53236, NSURLConnection, TinyXML, 
xml, 0.2420720458030701, 150, 1.062949001789093, 79532, NSURLConnection, TinyXML, 
xml, 0.3228030204772949, 200, 1.086309015750885, 105758, NSURLConnection, TinyXML, 
xml, 0.05240499973297119, 50, 0.6930369734764099, 26286, NSURLConnection, GoogleXML, 
xml, 0.09624397754669189, 100, 0.8712450265884399, 52598, NSURLConnection, GoogleXML, 
xml, 0.1439919471740723, 150, 1.094675004482269, 79306, NSURLConnection, GoogleXML, 
xml, 0.1867469549179077, 200, 1.118928968906403, 105973, NSURLConnection, GoogleXML, 
xml, 0.08262699842453003, 50, 0.6212919950485229, 26273, NSURLConnection, APXML, 
xml, 0.1594599485397339, 100, 0.9415369629859924, 53056, NSURLConnection, APXML, 
xml, 0.2350249886512756, 150, 0.867247998714447, 79000, NSURLConnection, APXML, 
xml, 0.3136669993400574, 200, 1.093538999557495, 105424, NSURLConnection, APXML, 
pbuf, 0.02214294672012329, 50, 0.5002930164337158, 13532, NSURLConnection, ProtocolBuffer, 
pbuf, 0.03743600845336914, 100, 0.6890769600868225, 27719, NSURLConnection, ProtocolBuffer, 
pbuf, 0.05428099632263184, 150, 0.9850749969482422, 41084, NSURLConnection, ProtocolBuffer, 
pbuf, 0.07187104225158691, 200, 0.9649029970169067, 55187, NSURLConnection, ProtocolBuffer, 
xml, 0.07151103019714355, 50, 0.6377869844436646, 26563, NSURLConnection, AQXMLParser, 
xml, 0.1380580067634583, 100, 0.9562990069389343, 52607, NSURLConnection, AQXMLParser, 
xml, 0.208640992641449, 150, 1.078081011772156, 79513, NSURLConnection, AQXMLParser, 
xml, 0.2777940034866333, 200, 1.126906991004944, 105265, NSURLConnection, AQXMLParser, 
json, 0.05489397048950195, 50, 1.255097985267639, 21590, ASIHTTPRequest, TouchJSON, 
json, 0.1046299934387207, 100, 0.9683710336685181, 42527, ASIHTTPRequest, TouchJSON, 
json, 0.1617439985275269, 150, 0.6643279790878296, 64123, ASIHTTPRequest, TouchJSON, 
json, 0.222025990486145, 200, 0.7122099995613098, 85425, ASIHTTPRequest, TouchJSON, 
json, 0.03803396224975586, 50, 0.6742510199546814, 21504, ASIHTTPRequest, SBJSON, 
json, 0.08933204412460327, 100, 0.6896060109138489, 43185, ASIHTTPRequest, SBJSON, 
json, 0.1172459721565247, 150, 0.8243020176887512, 64371, ASIHTTPRequest, SBJSON, 
json, 0.1611049771308899, 200, 0.861748993396759, 85919, ASIHTTPRequest, SBJSON, 
json, 0.01468104124069214, 50, 0.6893540024757385, 21517, ASIHTTPRequest, JSONKit, 
json, 0.02600902318954468, 100, 0.709568977355957, 42805, ASIHTTPRequest, JSONKit, 
json, 0.03970301151275635, 150, 1.004651010036469, 64499, ASIHTTPRequest, JSONKit, 
json, 0.05300700664520264, 200, 0.8112719655036926, 86065, ASIHTTPRequest, JSONKit, 
json, 0.01973605155944824, 50, 0.5108270049095154, 21428, ASIHTTPRequest, YAJL, 
json, 0.04254001379013062, 100, 0.6915389895439148, 42391, ASIHTTPRequest, YAJL, 
json, 0.06342601776123047, 150, 0.8772000074386597, 64823, ASIHTTPRequest, YAJL, 
json, 0.08236998319625854, 200, 0.9619179964065552, 86073, ASIHTTPRequest, YAJL, 
json, 0.3407630324363708, 50, 0.5837360024452209, 21715, ASIHTTPRequest, BSJSON, 
json, 0.6437360048294067, 100, 0.8169530034065247, 42873, ASIHTTPRequest, BSJSON, 
json, 0.9493470191955566, 150, 1.101577997207642, 64383, ASIHTTPRequest, BSJSON, 
json, 1.275201976299286, 200, 1.30186802148819, 85641, ASIHTTPRequest, BSJSON, 
yaml, 0.06436097621917725, 50, 0.7597920298576355, 23388, ASIHTTPRequest, YAML, 
yaml, 0.1233019828796387, 100, 1.167205035686493, 46748, ASIHTTPRequest, YAML, 
yaml, 0.1797200441360474, 150, 1.203567981719971, 69550, ASIHTTPRequest, YAML, 
yaml, 0.2400829792022705, 200, 1.258165955543518, 92956, ASIHTTPRequest, YAML, 
binplist, 0.01082003116607666, 50, 0.769385039806366, 17745, ASIHTTPRequest, BinaryPlist, 
binplist, 0.01727497577667236, 100, 1.011480987071991, 34781, ASIHTTPRequest, BinaryPlist, 
binplist, 0.02041500806808472, 150, 1.311604976654053, 51338, ASIHTTPRequest, BinaryPlist, 
binplist, 0.029060959815979, 200, 1.183654963970184, 67850, ASIHTTPRequest, BinaryPlist, 
xmlplist, 0.0208660364151001, 50, 0.7082619667053223, 37768, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.03575599193572998, 100, 1.101193010807037, 75531, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.05345797538757324, 150, 1.190896987915039, 113278, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.07414698600769043, 200, 1.339900016784668, 150743, ASIHTTPRequest, XMLPlist, 
xmlplistformatted, 0.0195159912109375, 50, 0.6722739934921265, 48001, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.03702199459075928, 100, 1.111797988414764, 95783, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.05791497230529785, 150, 1.092257976531982, 144032, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.07336300611495972, 200, 1.676066994667053, 191147, ASIHTTPRequest, XMLFormattedPlist, 
xml, 0.06451702117919922, 50, 0.7368299961090088, 26183, ASIHTTPRequest, NSXMLParser, 
xml, 0.1323080062866211, 100, 0.8538519740104675, 53054, ASIHTTPRequest, NSXMLParser, 
xml, 0.1970260143280029, 150, 0.891679048538208, 79132, ASIHTTPRequest, NSXMLParser, 
xml, 0.2606109976768494, 200, 1.123866975307465, 105915, ASIHTTPRequest, NSXMLParser, 
xml, 0.05271703004837036, 50, 0.7614060044288635, 26317, ASIHTTPRequest, TouchXML, 
xml, 0.09983599185943604, 100, 0.9709790349006653, 53146, ASIHTTPRequest, TouchXML, 
xml, 0.1498939990997314, 150, 0.9227060079574585, 79333, ASIHTTPRequest, TouchXML, 
xml, 0.1981040239334106, 200, 1.069552004337311, 106162, ASIHTTPRequest, TouchXML, 
xml, 0.03258699178695679, 50, 0.7209369540214539, 26647, ASIHTTPRequest, LibXMLDom, 
xml, 0.0677570104598999, 100, 0.8827000260353088, 53075, ASIHTTPRequest, LibXMLDom, 
xml, 0.101578950881958, 150, 0.9136430025100708, 79600, ASIHTTPRequest, LibXMLDom, 
xml, 0.1319590210914612, 200, 1.064677000045776, 105726, ASIHTTPRequest, LibXMLDom, 
xml, 0.05590701103210449, 50, 0.679332971572876, 26799, ASIHTTPRequest, LibXMLSAX, 
xml, 0.1157860159873962, 100, 0.8672930002212524, 52520, ASIHTTPRequest, LibXMLSAX, 
xml, 0.1721999645233154, 150, 0.9155449867248535, 79803, ASIHTTPRequest, LibXMLSAX, 
xml, 0.2213869690895081, 200, 1.044001996517181, 104773, ASIHTTPRequest, LibXMLSAX, 
